gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
HRH2,-0.0022292142659399426,7.361043300345478,-0.02701721731336434,0.9784986367075954,1,-10.671092011051627
DNAJC3,-0.002750648406574992,5.700119276101617,-0.027013942471000963,0.9785012423157037,1,-10.671092100387133
SEC61A2,-0.0016508372730617599,5.451033832167697,-0.026984825945370654,0.9785244087097942,1,-10.671092894190261
HOMER1,0.00197833734309861,0.48733101567040743,0.026846595159085298,0.9786343914804908,1,-10.671096651093785
CFDP1,0.001995463644050254,5.304682593322398,0.026839699533881687,0.9786398779678374,1,-10.671096838001201
STT3B,-0.0030394064183255107,6.130432576388983,-0.02681952483613332,0.9786559299226996,1,-10.671097384564996
AGO4,0.0019460535833833773,7.6313957374831745,0.026679270105981832,0.9787675235390747,1,-10.671101172922668
ST13P17,-2.285256931940272e-4,0.01832395304158036,-0.026597285850493504,0.9788327544724884,1,-10.671103378163785
ORC4,0.002530828107215109,3.741521503189756,0.026326152396208877,0.9790484833568285,1,-10.671110622868355
WDR7,-0.0023246069296630058,3.5340763159635356,-0.026300802734646866,0.9790686530398331,1,-10.671111296418555
DUSP8,-0.0022423391496832947,1.9508065287120877,-0.026230601260533323,0.9791245095360396,1,-10.67111315831193
DSG1-AS1,-1.501074184088187e-4,0.009166562385953926,-0.02612919033604526,0.9792051983229804,1,-10.671115839160223
IARS1,0.0024250285740080426,5.104386618018871,0.026060018107968538,0.9792602361383551,1,-10.671117661805175
VCPIP1,0.003365834147437147,5.119019703636415,0.02592680281147008,0.979366230966128,1,-10.671121158332951
MSRA-DT,-0.0011400141099803497,0.3195197841337848,-0.025877232732079626,0.9794056722671708,1,-10.671122454833954
HEATR6,-0.0022933443867958446,3.3928915840421405,-0.02586363434303295,0.9794164920722936,1,-10.671122810064917
ANKMY2,0.0021707230686113404,2.995535679395268,0.025852689961172053,0.9794252001712067,1,-10.671123095829591
LOC105377134,-7.01567889335765e-4,0.08307093748073682,-0.0258435485563822,0.9794324737001274,1,-10.67112333442471
RANP1,-0.001937302801108117,2.7248837301124658,-0.025828579334513376,0.9794443842439593,1,-10.671123724946463
GPX7,-0.002441188310261601,2.6137810842523,-0.025798220764941166,0.9794685396269459,1,-10.671124516255603
RPL39P,1.2660853745614746e-4,0.0058139283931271735,0.025710199323610038,0.9795385756969027,1,-10.671126805311422
FBXL3,-0.003349029567363645,5.054034140684269,-0.025699273015517464,0.9795472694498136,1,-10.671127088911458
DDX50,-0.002286622753104497,4.232490428660896,-0.02543453228995621,0.979757916874296,1,-10.6711339235978
MIR8086,1.8624616303420505e-4,0.012988992638280602,0.025311512732412653,0.9798558008782703,1,-10.671137075452027
FRG1HP,0.0023212787312065957,3.7044084764354084,0.025303585566126958,0.9798621083637804,1,-10.67113727802795
OSBPL5,0.002156380806369119,5.1147201440904775,0.025302145412056755,0.9798632542653156,1,-10.671137314823762
BRD1,0.002272500312374791,5.348974780724704,0.025204427497136563,0.9799410065369016,1,-10.671139806616294
HMGN1P38,-0.002021058406520989,1.311097220298466,-0.025176253632276144,0.9799634239770059,1,-10.671140523255012
RPS28P2,7.381525706919861e-4,0.13438098017298936,0.025145348389418096,0.9799880147441713,1,-10.67114130844802
ZC3H4,-0.0016388085081315618,5.4273756381676375,-0.02511580428191529,0.9800115224975194,1,-10.671142058157722
RASSF1,-0.0015835877655421139,7.954146632743757,-0.025112775427773126,0.9800139325072148,1,-10.671142134967958
TSEN15P1,-6.88632055014747e-4,0.06246379266985712,-0.025090850677958014,0.9800313776775186,1,-10.671142690692465
REXO5,-0.001602871341730062,0.8329111351570442,-0.02507499196634042,0.9800439962049696,1,-10.671143092359182
LEFTY2,8.605193624082592e-4,0.23293345871827464,0.025031183018261984,0.9800788543223681,1,-10.671144200624916
SMIM5,0.0020889121380795353,2.5886429510908067,0.025020970131768728,0.9800869805672365,1,-10.671144458708937
IGFBPL1,3.252594553803706e-4,0.011270378082530674,0.024987050949729982,0.980113969580851,1,-10.671145315105425
FFAR1,7.335858148558847e-4,0.090407022221276,0.024974747386145506,0.9801237593581632,1,-10.671145625460488
ZBTB14,0.0027495475772904288,3.7010408929940204,0.024974688958235028,0.9801238058484598,1,-10.671145626933955
CBX1,-0.002030543128337314,5.298675096489731,-0.024974575496870682,0.9801238961281303,1,-10.67114562979528
SNRPCP20,-1.584763663065848e-4,0.008400107344678139,-0.02495857042700498,0.9801366311479791,1,-10.671146033288608
