mirna,contrast,test,n_group_a,n_group_b,log2fc,pvalue,padj,direction
novel_miR_1977,case_after_vs_control,welch_t,10,10,-1.4204518330326565,0.013737197660859745,0.15110086718229826,down_in_case_after
novel_miR_1979,case_after_vs_control,welch_t,10,10,-0.7698001972101278,0.391614721013786,0.4605171122855953,down_in_case_after
novel_miR_198,case_after_vs_control,welch_t,10,10,-1.6398193653677766,0.04820612789885128,0.19732819828491716,down_in_case_after
novel_miR_1982,case_after_vs_control,welch_t,10,10,-1.5926612400651732,0.032317247892407995,0.18030419635213388,down_in_case_after
novel_miR_1984,case_after_vs_control,welch_t,10,10,-0.4902258135377604,0.562311699143585,0.615939574154501,down_in_case_after
novel_miR_1985,case_after_vs_control,welch_t,10,10,-1.7208609461021371,0.04977348459474993,0.20020680041363334,down_in_case_after
novel_miR_1986,case_after_vs_control,welch_t,10,10,-1.4899719052692155,0.02085903901941285,0.1513879948464135,down_in_case_after
novel_miR_1989,case_after_vs_control,welch_t,10,10,-1.2404013265007654,0.23391222584741655,0.35476687586858174,down_in_case_after
novel_miR_1995,case_after_vs_control,welch_t,10,10,-1.169517820446078,0.09301748429492206,0.2420105153204281,down_in_case_after
novel_miR_2001,case_after_vs_control,welch_t,10,10,-2.1162855494113084,0.025578588491315325,0.16626082519354962,down_in_case_after
novel_miR_2002,case_after_vs_control,welch_t,10,10,-0.44533600141035645,0.6204437144039079,0.6696381665874602,down_in_case_after
novel_miR_2005,case_after_vs_control,welch_t,10,10,-0.5698878881529028,0.4167523571594971,0.48193356649040575,down_in_case_after
novel_miR_2006,case_after_vs_control,welch_t,10,10,-0.6596808010162132,0.37568445701173103,0.44756768645002803,down_in_case_after
novel_miR_2007,case_after_vs_control,welch_t,10,10,-1.349057132277927,0.06945046329132064,0.21851281360922703,down_in_case_after
novel_miR_2009,case_after_vs_control,welch_t,10,10,-1.3624361350719036,0.13274096157256846,0.2750132356223266,down_in_case_after
novel_miR_2011,case_after_vs_control,welch_t,10,10,-0.8328004056594821,0.19214345336313626,0.32128156620577664,down_in_case_after
novel_miR_2019,case_after_vs_control,welch_t,10,10,-2.009897505378124,0.014226172826589886,0.15110086718229826,down_in_case_after
novel_miR_202,case_after_vs_control,welch_t,10,10,-1.189359402281835,0.1937359271320929,0.32144404179139674,down_in_case_after
novel_miR_2024,case_after_vs_control,welch_t,10,10,-1.34144129955869,0.020452881562935784,0.1513879948464135,down_in_case_after
novel_miR_203,case_after_vs_control,welch_t,10,10,0.9338708740575676,0.1757992492956221,0.31124794175992954,up_in_case_after
novel_miR_2031,case_after_vs_control,welch_t,10,10,-0.5937429682230018,0.22866900360692002,0.35196846825858213,down_in_case_after
novel_miR_2032,case_after_vs_control,welch_t,10,10,-0.12915949079129468,0.22429053583460465,0.3482095851605477,down_in_case_after
novel_miR_2037,case_after_vs_control,welch_t,10,10,-1.7102959481575608,0.060587453928975334,0.2130352741558968,down_in_case_after
novel_miR_204,case_after_vs_control,welch_t,10,10,0.2100099168077739,0.1762843244003998,0.31124794175992954,up_in_case_after
novel_miR_2042,case_after_vs_control,welch_t,10,10,-1.5865925388230497,0.10042564158007926,0.2450977038831672,down_in_case_after
novel_miR_2045,case_after_vs_control,welch_t,10,10,0.0,,,down_in_case_after
novel_miR_2046,case_after_vs_control,welch_t,10,10,-1.2275051642113086,0.17840382274673888,0.31124794175992954,down_in_case_after
novel_miR_2048,case_after_vs_control,welch_t,10,10,0.0,,,down_in_case_after
novel_miR_2050,case_after_vs_control,welch_t,10,10,-0.9866517361271625,0.10115166462266319,0.2450977038831672,down_in_case_after
novel_miR_2051,case_after_vs_control,welch_t,10,10,-0.44669070284310974,0.5368102176615939,0.5923941114679716,down_in_case_after
novel_miR_2056,case_after_vs_control,welch_t,10,10,-1.4547516431993663,0.0569059855906861,0.21133807099238336,down_in_case_after
novel_miR_2058,case_after_vs_control,welch_t,10,10,-0.6362481305150882,0.3597932006346316,0.43255625645403367,down_in_case_after
novel_miR_2064,case_after_vs_control,welch_t,10,10,0.2540205123542013,0.34343639613791366,0.4192830305791041,up_in_case_after
novel_miR_2070,case_after_vs_control,welch_t,10,10,0.0,,,down_in_case_after
novel_miR_2072,case_after_vs_control,welch_t,10,10,-1.64092321004376,0.03548602599978648,0.18343586707766135,down_in_case_after
novel_miR_2077,case_after_vs_control,welch_t,10,10,0.0,,,down_in_case_after
novel_miR_208,case_after_vs_control,welch_t,10,10,-0.44349498336909077,0.6111144389104568,0.6608303301929346,down_in_case_after
novel_miR_2084,case_after_vs_control,welch_t,10,10,-1.3235257930983113,0.2692640845696851,0.382859870247521,down_in_case_after
novel_miR_2085,case_after_vs_control,welch_t,10,10,-2.2638878929197057,0.008670326877060921,0.1316556089192783,down_in_case_after
novel_miR_2094,case_after_vs_control,welch_t,10,10,0.27861496404194586,0.6270909637664266,0.6732675100724348,up_in_case_after
novel_miR_2099,case_after_vs_control,welch_t,10,10,-0.8578213422760533,0.10072381612298038,0.2450977038831672,down_in_case_after
novel_miR_2102,case_after_vs_control,welch_t,10,10,-1.3723155082309946,0.19056269751801433,0.3210775348203721,down_in_case_after
novel_miR_2106,case_after_vs_control,welch_t,10,10,-0.9109090885813929,0.2512558251647928,0.3678658925370667,down_in_case_after
novel_miR_2108,case_after_vs_control,welch_t,10,10,-2.3267810092498578,0.0006387945041572192,0.0773817359671023,down_in_case_after
novel_miR_211,case_after_vs_control,welch_t,10,10,-1.5376168054112629,0.10042490648350332,0.2450977038831672,down_in_case_after
novel_miR_2110,case_after_vs_control,welch_t,10,10,-1.5575595955344284,0.06365773364690419,0.2130352741558968,down_in_case_after
novel_miR_2111,case_after_vs_control,welch_t,10,10,-1.46040278087702,0.035553205975655616,0.18343586707766135,down_in_case_after
novel_miR_2112,case_after_vs_control,welch_t,10,10,-1.2079341438831297,0.15407739433357967,0.3002859266830721,down_in_case_after
novel_miR_2113,case_after_vs_control,welch_t,10,10,-1.2154169956374483,0.16796411139971668,0.3090541576302154,down_in_case_after
novel_miR_2122,case_after_vs_control,welch_t,10,10,-0.8097872668003614,0.3517797842764595,0.426061965110951,down_in_case_after
novel_miR_2123,case_after_vs_control,welch_t,10,10,-1.344850056046437,0.12440203000209275,0.2670918357395204,down_in_case_after
